Отчет о продажах за период;;;;;;;
с 01.09.16 по 30.09.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
85061;"Калькулятор""Citizen SDC-812BN"" 12разр.";487,50 руб.;6,00 шт.;2 925,00 руб.;1 801,29 руб.;1 123,71 руб.;62,38%
;ZОтчет 8/1487/10029;500,00 руб.;1,00 шт.;500,00 руб.;224,39 руб.;275,61 руб.;122,83%
;ZОтчет 5/1514/15468;475,00 руб.;1,00 шт.;475,00 руб.;334,35 руб.;140,65 руб.;42,07%
;ZОтчет 2/1554;500,00 руб.;1,00 шт.;500,00 руб.;334,35 руб.;165,65 руб.;49,54%
;ZОтчет 2/1557;475,00 руб.;1,00 шт.;475,00 руб.;334,36 руб.;140,64 руб.;42,06%
;ZОтчет 8/1502/10059;475,00 руб.;1,00 шт.;475,00 руб.;334,35 руб.;140,65 руб.;42,07%
;ZОтчет 15/1530;500,00 руб.;1,00 шт.;500,00 руб.;239,49 руб.;260,51 руб.;108,78%
114364;"Калькулятор""Citizen SDC-888TllGE""";950,00 руб.;1,00 шт.;950,00 руб.;825,93 руб.;124,07 руб.;15,02%
;ZОтчет 5/1505/14868;950,00 руб.;1,00 шт.;950,00 руб.;825,93 руб.;124,07 руб.;15,02%
186505;"Калькулятор""Citizen SDC-888XBL"" 12разр.бухгалтерский";950,00 руб.;1,00 шт.;950,00 руб.;600,03 руб.;349,97 руб.;58,33%
;ZОтчет 3/1483/15507;950,00 руб.;1,00 шт.;950,00 руб.;600,03 руб.;349,97 руб.;58,33%
186503;"Калькулятор""Citizen SDC-888XWH"" 12разр.бухгалтерский";914,67 руб.;3,00 шт.;2 744,00 руб.;1 770,00 руб.;974,00 руб.;55,03%
;ZОтчет 5/1511/15415;931,00 руб.;1,00 шт.;931,00 руб.;590,00 руб.;341,00 руб.;57,8%
;ZОтчет 9/2953;882,00 руб.;1,00 шт.;882,00 руб.;590,00 руб.;292,00 руб.;49,49%
;ZОтчет 2/1567;931,00 руб.;1,00 шт.;931,00 руб.;590,00 руб.;341,00 руб.;57,8%
22417;"Калькулятор""Citizen SLD-100 N"" 8разр.";199,00 руб.;10,00 шт.;1 990,00 руб.;1 140,21 руб.;849,79 руб.;74,53%
;ZОтчет 13/1492;200,00 руб.;1,00 шт.;200,00 руб.;84,15 руб.;115,85 руб.;137,67%
;ZОтчет 6/2917;190,00 руб.;1,00 шт.;190,00 руб.;84,15 руб.;105,85 руб.;125,79%
;ZОтчет 2/1544;200,00 руб.;1,00 шт.;200,00 руб.;84,15 руб.;115,85 руб.;137,67%
;ZОтчет 9/2945;200,00 руб.;1,00 шт.;200,00 руб.;134,19 руб.;65,81 руб.;49,04%
;ZОтчет 9/2950;200,00 руб.;1,00 шт.;200,00 руб.;134,19 руб.;65,81 руб.;49,04%
;ZОтчет 3/1483/15507;200,00 руб.;1,00 шт.;200,00 руб.;134,19 руб.;65,81 руб.;49,04%
;ZОтчет 16/1520;200,00 руб.;2,00 шт.;400,00 руб.;268,38 руб.;131,62 руб.;49,04%
;ZОтчет 15/1525;200,00 руб.;1,00 шт.;200,00 руб.;134,19 руб.;65,81 руб.;49,04%
;ZОтчет 20/1567;200,00 руб.;1,00 шт.;200,00 руб.;82,62 руб.;117,38 руб.;142,07%
22418;"Калькулятор""Citizen SLD-200 N"" 8разр.";211,75 руб.;12,00 шт.;2 541,00 руб.;1 416,52 руб.;1 124,48 руб.;79,38%
;ZОтчет 8/1479/8642;220,00 руб.;1,00 шт.;220,00 руб.;82,25 руб.;137,75 руб.;167,48%
